Bus_no,From,To,Link,Bus_Name,Bus_Type,Bus_Dept,Bus_Arrival,Duration,Rating,Price,Seats
0,Tezpur,Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,Non AC Seater,21:15:00,03:00:00,05h 45m,3.7,450,12
1,Tezpur,Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,Non AC Seater,21:45:00,03:15:00,05h 30m,3.7,450,13
2,Tezpur,Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Himalayan Travels,Non AC Seater/ Sleeper ,23:40:00,04:00:00,04h 20m,3.7,500,31
3,Guwahati,Nagaon,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,DESTINY TRAVELS,Non AC Seater,17:30:00,20:40:00,03h 10m,2.2,456.46,25
4,Guwahati,Nagaon,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,DESTINY TRAVELS,Non AC Seater,18:45:00,22:00:00,03h 15m,2.2,441,17
5,Guwahati,Nagaon,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Nishigandha(Divya Tours & Travels),AC Seater,21:15:00,23:50:00,02h 35m,2.2,550,35
6,Dhubri,Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Yatra,Non AC Seater,20:15:00,03:30:00,07h 15m,2.3,350,38
7,Dhubri,Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,MAA MONOSHA TRAVELS,Non AC Seater,20:00:00,03:30:00,07h 30m,2.3,347,29
8,North Lakhimpur,Jorhat,https://www.redbus.in/bus-tickets/north-lakhimpur-to-jorhat,Priyanka,Non AC Seater,17:30:00,05:00:00,11h 30m,3.7,600,18
9,Guwahati,Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Yatra Travels,Non AC Seater,18:00:00,01:30:00,07h 30m,3.3,425,19
10,Guwahati,Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Yatra Travels,Non AC Seater/Sleeper,18:45:00,00:00:00,05h 15m,3.3,425,29
11,Guwahati,Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Yatra Travels,Non AC Seater/Sleeper,19:30:00,01:10:00,05h 40m,3.3,425,23
12,Guwahati,Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Yatra Travels,AC Seater/Sleeper,20:00:00,03:15:00,07h 15m,3.3,525,22
13,Guwahati,Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,BLUE HILL TRAVELS INDIA LIMITED,Non AC Seater,20:00:00,02:00:00,06h 00m,3.3,400,8
14,Guwahati,Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),Non AC Seater,20:15:00,01:30:00,05h 15m,3.3,450,12
15,Guwahati,Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Yatra Travels,Non AC Seater/Sleeper,20:30:00,02:15:00,05h 45m,3.3,425,25
16,Guwahati,Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),AC Seater/Sleeper,20:45:00,03:30:00,06h 45m,3.3,425,22
17,Guwahati,Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),Non AC Seater,21:45:00,03:00:00,05h 15m,3.3,450,12
18,Guwahati,Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Maharathi Travels(UNDER ASTC),Non AC Seater,20:55:00,02:45:00,05h 50m,3.3,375,11
19,Guwahati,Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),AC Seater,21:30:00,03:45:00,06h 15m,3.3,475,24
20,Guwahati,Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,DESTINY TRAVELS,Non AC Seater,17:30:00,23:30:00,06h 00m,3.3,488,25
21,Guwahati,Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,NORTH EAST TRAVELS(UNDER ASTC),Non AC Seater,20:15:00,02:30:00,06h 15m,3.3,450,23
22,Guwahati,Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,DESTINY TRAVELS,Non AC Seater,18:45:00,00:20:00,05h 35m,3.3,451,21
23,Tezpur,Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Puja Transport,Non AC Seater,20:00:00,05:00:00,09h 00m,3.4,540,11
24,Tezpur,Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,J.S. Travels,Non AC Seater,20:30:00,04:00:00,07h 30m,3.4,550,17
25,Tezpur,Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Maa Laxmi,Non AC Seater,22:15:00,07:00:00,08h 45m,3.4,543,8
26,Tezpur,Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,KIRTI TRAVELS,Non AC Seater/Sleeper,20:00:00,04:30:00,08h 30m,3.4,550,7
27,North Lakhimpur,Dibrugarh,https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,Air Bus Travels,Non AC Seater/ Sleeper ,21:00:00,03:00:00,06h 00m,3.8,400,22
28,North Lakhimpur,Tezpur,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,Laxmi Travels,AC Seater/Sleeper,20:50:00,00:45:00,03h 55m,4,450,17
29,Dibrugarh,Jorhat,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Trishul Transport Service,AC Seater/Sleeper,19:15:00,22:55:00,03h 40m,3.9,450,33
30,Dibrugarh,Jorhat,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Purple Wings Coaches,AC Seater/Sleeper,20:00:00,00:20:00,04h 20m,3.9,585,18
31,Biswanath Charali,Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,Non AC Seater,20:30:00,03:15:00,06h 45m,4.4,450,15
32,Biswanath Charali,Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Yatra Travels,Non AC Seater/Sleeper,23:50:00,06:30:00,06h 40m,4.4,425,21
33,Biswanath Charali,Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,PARIJAT TRAVELS(UNDER ASTC),Non AC Seater,23:50:00,06:30:00,06h 40m,4.4,500,16
34,Biswanath Charali,Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,Non AC Seater,20:00:00,03:00:00,07h 00m,4.4,450,12
35,Biswanath Charali,Dibrugarh,https://www.redbus.in/bus-tickets/biswanath-charali-to-dibrugarh,Air Bus Travels,Non AC Seater/ Sleeper ,18:30:00,02:00:00,07h 30m,3.2,600,22
36,Dibrugarh,Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Puja Transport,Non AC Seater/ Sleeper ,20:20:00,05:00:00,08h 40m,3.2,540,1
37,Dibrugarh,Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Puja Transport,Non AC Seater,19:15:00,04:00:00,08h 45m,3.2,540,1
