Bus_no,From,To,Link,Bus_Name,Bus_Type,Bus_Dept,Bus_Arrival,Duration,Rating,Price,Seats
0,Patna,Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Bihar state road transport corporation (BSRTC) - 150571,Non AC Seater,21:20:00,01:00:00,03h 40m,4,230,32
1,Patna,Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Siddhi Vinayak (BSRTC U/T),Non AC Seater,15:30:00,19:30:00,04h 00m,4,220,35
2,Patna,Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Hanuman Travels,AC Seater/Sleeper,22:00:00,04:00:00,06h 00m,4,495,38
3,Patna,Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Hanuman Travels,AC Seater/Sleeper,22:20:00,03:15:00,04h 55m,4,495,54
4,Patna,Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Mata Di Tour and Travels,AC Seater/Sleeper,13:53:00,19:20:00,05h 27m,4,360,12
5,Patna,Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Panwar Travels,AC Seater/Sleeper,18:10:00,21:35:00,03h 25m,4,903,26
6,Patna,Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Mata Di Tour and Travels,AC Seater/Sleeper,20:28:00,23:30:00,03h 02m,4,500,6
7,Patna,Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Hanuman Travels,AC Seater/Sleeper,22:20:00,05:00:00,06h 40m,3.6,495,54
8,Patna,Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Mata Di Tour and Travels,AC Seater/Sleeper,22:40:00,04:00:00,05h 20m,3.6,450,28
9,Patna,Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Vivek Travels,AC Seater,13:25:00,20:25:00,07h 00m,3.6,450,45
10,Patna,Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Vivek Travels,AC Seater/Sleeper,13:30:00,20:30:00,07h 00m,3.6,400,71
11,Patna,Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Mata Di Tour and Travels,AC Seater/Sleeper,20:28:00,02:00:00,05h 32m,3.6,500,6
12,Patna,Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,V.I.P Travels,AC Seater/Sleeper,21:40:00,03:40:00,06h 00m,3.6,350,51
13,Bettiah,Patna,https://www.redbus.in/bus-tickets/bettiah-to-patna,Bihar state road transport corporation (BSRTC) - 146159,Non AC Seater,14:30:00,19:30:00,05h 00m,2.9,285,34
14,Bettiah,Patna,https://www.redbus.in/bus-tickets/bettiah-to-patna,Bihar state road transport corporation (BSRTC) - 170674,Non AC Seater,20:30:00,02:00:00,05h 30m,2.9,285,25
15,Bettiah,Patna,https://www.redbus.in/bus-tickets/bettiah-to-patna,Jai Mata Di Tour and Travels,AC Seater/Sleeper,22:00:00,05:00:00,07h 00m,2.9,500,10
16,Bettiah,Patna,https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,AC Seater,15:00:00,08:45:00,17h 45m,2.9,450,42
17,Bettiah,Patna,https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,AC Seater,15:00:00,21:00:00,06h 00m,2.9,450,42
18,Bettiah,Patna,https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,AC Seater,15:15:00,21:20:00,06h 05m,2.9,450,42
19,Bettiah,Patna,https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,AC Seater,15:21:00,21:45:00,06h 24m,2.9,450,42
20,Bettiah,Patna,https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,AC Seater,15:30:00,22:15:00,06h 45m,2.9,450,42
21,Bettiah,Patna,https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,AC Seater,15:37:00,22:15:00,06h 38m,2.9,450,42
22,Bettiah,Patna,https://www.redbus.in/bus-tickets/bettiah-to-patna,Jai Hanuman Travels,AC Seater/Sleeper,21:55:00,05:31:00,07h 36m,2.9,495,40
23,Gopalganj,Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,ROYAL TRAVELS AND CARGO,AC Seater/Sleeper,17:30:00,08:30:00,15h 00m,1.8,1396,6
24,Gopalganj,Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,ROYAL TRAVELS AND CARGO,AC Seater/Sleeper,17:00:00,08:00:00,15h 00m,1.8,1496,6
25,Balmiki Nagar Bihar,Patna,https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna,Jai Mata Di Tour and Travels,AC Seater/Sleeper,18:30:00,05:00:00,10h 30m,2.2,450,10
26,Patna,Katihar,https://www.redbus.in/bus-tickets/patna-to-katihar,Bihar state road transport corporation (BSRTC) - 142847,AC Seater,21:25:00,06:30:00,09h 05m,3.6,468,31
27,Patna,Katihar,https://www.redbus.in/bus-tickets/patna-to-katihar,Sri Krishna Rath,AC Seater/Sleeper,21:00:00,06:05:00,09h 05m,3.6,800,14
28,Patna,Katihar,https://www.redbus.in/bus-tickets/patna-to-katihar,Sri Krishna Rath,AC Seater/Sleeper,20:00:00,05:05:00,09h 05m,3.6,750,26
29,Patna,Balmiki Nagar Bihar,https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar,Jai Mata Di Tour and Travels,AC Seater/Sleeper,20:28:00,06:00:00,09h 32m,1.7,500,6
