Bus_no,From,To,Link,Bus_Name,Bus_Type,Bus_Dept,Bus_Arrival,Duration,Rating,Price,Seats
0,Yamuna Nagar,Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Chandigarh Transport Undertaking (CTU) - 165752,AC Seater,14:20:00,17:05:00,02h 45m,4,195.6,48
1,Yamuna Nagar,Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Zimindara Travels,AC Sleeper,20:30:00,23:15:00,02h 45m,4,749,11
2,Yamuna Nagar,Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),AC Seater/Sleeper,20:40:00,23:30:00,02h 50m,4,799,28
3,Yamuna Nagar,Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,City Land Travels,AC Semi Sleeper,22:15:00,01:15:00,03h 00m,4,917,19
4,Yamuna Nagar,Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,City Land Travels,AC Seater/Sleeper,21:20:00,23:20:00,02h 00m,4,611,19
5,Yamuna Nagar,Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,KN Nehra Travels,AC Seater/Sleeper,22:50:00,01:15:00,02h 25m,4,699,16
6,Yamuna Nagar,Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,KN Nehra Travels,AC Seater/Sleeper,22:50:00,01:30:00,02h 40m,4,699,15
7,Yamuna Nagar,Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,City Land Travels,AC Semi Sleeper,22:00:00,00:15:00,02h 15m,4,948,33
8,Yamuna Nagar,Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,City Land Travels,AC Semi Sleeper,22:00:00,23:15:00,01h 15m,4,948,33
9,Chandigarh,Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,HRTC - 6709,Non AC Seater,20:45:00,02:40:00,05h 55m,4.1,290,35
10,Chandigarh,Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,NueGo,AC Seater,14:30:00,20:00:00,05h 30m,4.1,336,22
11,Chandigarh,Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,NueGo,AC Seater,15:30:00,21:00:00,05h 30m,4.1,336,15
12,Chandigarh,Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,AC Seater/Sleeper,16:30:00,22:30:00,06h 00m,4.1,499,31
13,Chandigarh,Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,NueGo,AC Seater,16:30:00,21:55:00,05h 25m,4.1,336,34
14,Chandigarh,Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Yolo Bus,AC Semi Sleeper,16:40:00,21:50:00,05h 10m,4.1,300,11
15,Chandigarh,Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Orbit Aviation Pvt Ltd, AC Semi Sleeper,18:30:00,23:30:00,05h 00m,4.1,459,34
16,Chandigarh,Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Vijay Tour and Travels,AC Sleeper,17:00:00,23:30:00,06h 30m,4.1,685,29
17,Chandigarh,Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Orbit Aviation Pvt Ltd, AC Semi Sleeper,19:05:00,23:30:00,04h 25m,4.1,459,36
18,Chandigarh,Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,FlixBus,AC Seater,17:00:00,23:00:00,06h 00m,4.1,270.54,26
19,Chandigarh,Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,NueGo,AC Seater,17:30:00,22:55:00,05h 25m,4.1,336,34
20,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 562,Non AC Seater,15:15:00,21:10:00,05h 55m,3.9,285,35
21,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 551,AC Seater,15:30:00,21:25:00,05h 55m,3.9,400,37
22,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 525,Non AC Seater,16:50:00,22:40:00,05h 50m,3.9,290,27
23,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 526,Non AC Seater,17:00:00,23:00:00,06h 00m,3.9,275,33
24,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 532,Non AC Seater,17:59:00,23:40:00,05h 41m,3.9,290,27
25,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 587,Non AC Seater,18:25:00,23:05:00,04h 40m,3.9,290,29
26,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 541,Non AC Seater,19:14:00,00:30:00,05h 16m,3.9,290,37
27,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 549,AC Seater,19:25:00,00:40:00,05h 15m,3.9,390,34
28,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 548,Non AC Seater,19:31:00,00:40:00,05h 09m,3.9,290,28
29,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 545,Non AC Seater,19:32:00,00:20:00,04h 48m,3.9,275,37
30,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 301,Non AC Seater,19:43:00,00:20:00,04h 37m,3.9,290,23
31,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 557,Non AC Seater,20:15:00,01:30:00,05h 15m,3.9,290,27
32,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 84,AC Seater,20:15:00,01:20:00,05h 05m,3.9,543,3
33,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 26,AC Seater,20:50:00,02:10:00,05h 20m,3.9,553,20
34,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 591,AC Seater,21:00:00,03:00:00,06h 00m,3.9,400,42
35,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 567,AC Seater,21:03:00,02:30:00,05h 27m,3.9,533,1
36,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 574,Non AC Seater,21:14:00,02:40:00,05h 26m,3.9,275,18
37,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 568,Non AC Seater,21:30:00,03:05:00,05h 35m,3.9,290,38
38,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 571,Non AC Seater,21:40:00,02:30:00,04h 50m,3.9,285,28
39,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 577,AC Seater,21:40:00,02:40:00,05h 00m,3.9,400,40
40,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 600,AC Seater,21:50:00,04:00:00,06h 10m,3.9,533,6
41,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 579,Non AC Seater,22:30:00,03:00:00,04h 30m,3.9,285,24
42,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 580,Non AC Seater,22:45:00,03:50:00,05h 05m,3.9,290,37
43,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 576,AC Seater,23:20:00,02:05:00,02h 45m,3.9,390,31
44,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 564,Non AC Seater,23:40:00,05:40:00,06h 00m,3.9,290,35
45,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,RSRTC - 183801,Non AC Seater,15:30:00,21:00:00,05h 30m,3.9,320,42
46,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,NueGo,AC Seater,15:30:00,20:35:00,05h 05m,3.9,362,1
47,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,FlixBus,AC Seater,16:00:00,22:10:00,06h 10m,3.9,315.18,18
48,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,NueGo,AC Seater,16:30:00,21:55:00,05h 25m,3.9,433,23
49,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Zingbus Plus,AC Semi Sleeper,17:30:00,23:30:00,06h 00m,3.9,464,23
50,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Kartar Travels Private Limited,AC Semi Sleeper,19:00:00,23:59:00,04h 59m,3.9,684,41
51,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Laxmi holidays,AC Semi Sleeper,17:00:00,22:50:00,05h 50m,3.9,500,10
52,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,PAL Travel Lines,AC Semi Sleeper,19:15:00,23:45:00,04h 30m,3.9,719,9
53,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Laxmi holidays,AC Seater/Sleeper,17:00:00,23:05:00,06h 05m,3.9,599,18
54,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,RK Holiday,AC Seater/Sleeper,18:40:00,23:20:00,04h 40m,3.9,584,39
55,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,NueGo,AC Seater,17:30:00,22:35:00,05h 05m,3.9,400,20
56,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Om Sidh Express,AC Seater,17:40:00,00:00:00,06h 20m,3.9,499,34
57,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,FlixBus,AC Seater,18:00:00,00:05:00,06h 05m,3.9,616.07,11
58,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Laxmi holidays,AC Sleeper,18:00:00,23:30:00,05h 30m,3.9,739,13
59,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Holiday Appeal Private Limited,AC Semi Sleeper,18:00:00,22:45:00,04h 45m,3.9,600,30
60,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Laxmi holidays,AC Semi Sleeper,18:30:00,23:45:00,05h 15m,3.9,500,19
61,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Ram Dalal Holidays,AC Sleeper,18:30:00,00:05:00,05h 35m,3.9,770,15
62,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Jamna Travels (Delhi),AC Seater/Sleeper,18:30:00,23:59:00,05h 29m,3.9,699,24
63,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,FlixBus,AC Seater,18:35:00,00:50:00,06h 15m,3.9,616.07,13
64,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Zingbus Plus,AC Semi Sleeper,18:45:00,00:10:00,05h 25m,3.9,464,32
65,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Reo India Travels,AC Semi Sleeper,18:45:00,23:45:00,05h 00m,3.9,797,36
66,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,FlixBus,AC Semi Sleeper,18:45:00,00:40:00,05h 55m,3.9,834.82,7
67,Delhi,Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Laxmi holidays,AC Semi Sleeper,19:00:00,23:55:00,04h 55m,3.9,500,28
