Bus_no,From,To,Link,Bus_Name,Bus_Type,Bus_Dept,Bus_Arrival,Duration,Rating,Price,Seats
0,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 515,Non AC Seater,12:30:00,22:50:00,10h 20m,4.5,512,37
1,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 551,AC Seater,15:30:00,01:30:00,10h 00m,4.5,632,42
2,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 525,Non AC Seater,16:50:00,03:00:00,10h 10m,4.5,512,27
3,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 532,Non AC Seater,17:59:00,04:15:00,10h 16m,4.5,512,27
4,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 301,Non AC Seater,19:43:00,05:30:00,09h 47m,4.5,512,27
5,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 591,AC Seater,21:00:00,07:20:00,10h 20m,4.5,632,42
6,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 570,Non AC Seater,21:25:00,06:45:00,09h 20m,4.5,512,37
7,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 9,AC Seater,22:00:00,07:30:00,09h 30m,4.5,912,2
8,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 579,Non AC Seater,22:30:00,08:15:00,09h 45m,4.5,512,27
9,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 22,AC Seater,23:00:00,07:50:00,08h 50m,4.5,912,20
10,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 564,Non AC Seater,23:40:00,09:05:00,09h 25m,4.5,512,37
11,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Bedi Travels,AC Semi Sleeper,23:00:00,08:00:00,09h 00m,4.5,863,9
12,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,AC Semi Sleeper,23:30:00,08:00:00,08h 30m,4.5,1099,7
13,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Zingbus Plus,AC Semi Sleeper,22:35:00,08:10:00,09h 35m,4.5,913,8
14,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Deltin Travels Pvt Ltd,AC Semi Sleeper,23:30:00,08:00:00,08h 30m,4.5,1150,8
15,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Ram Dalal Holidays,AC Semi Sleeper,23:00:00,07:40:00,08h 40m,4.5,1178,5
16,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,AC Semi Sleeper,23:25:00,07:45:00,08h 20m,4.5,899,2
17,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Yolo Bus,AC Semi Sleeper,23:30:00,09:03:00,09h 33m,4.5,760,8
18,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,City Land Travels,AC Semi Sleeper,23:55:00,07:25:00,07h 30m,4.5,979,33
19,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,City Land Travels,AC Semi Sleeper,22:30:00,06:00:00,07h 30m,4.5,1161,20
20,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,PAL Travel Lines,AC Semi Sleeper,22:55:00,07:00:00,08h 05m,4.5,1259,24
21,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Metahills holidays,AC Semi Sleeper,22:30:00,07:00:00,08h 30m,4.5,1699,25
22,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Northern Travels,AC Semi Sleeper,23:00:00,07:30:00,08h 30m,4.5,750,32
23,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Royal Safari India Travels,AC Semi Sleeper,23:00:00,08:00:00,09h 00m,4.5,904,18
24,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Heera Himachal Holidays,AC Semi Sleeper,21:30:00,06:30:00,09h 00m,4.5,1399,13
25,Delhi,Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Royal Travels Hills,AC Semi Sleeper,22:30:00,06:30:00,08h 00m,4.5,1399,31
26,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 103,Non AC Seater,17:18:00,02:15:00,08h 57m,2.2,512,37
27,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 181,Non AC Seater,17:50:00,04:15:00,10h 25m,2.2,512,37
28,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 104,AC Seater,18:20:00,04:30:00,10h 10m,2.2,632,34
29,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 188,Non AC Seater,19:25:00,04:57:00,09h 32m,2.2,512,37
30,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 2040093,Non AC Seater,19:40:00,05:12:00,09h 32m,2.2,512,36
31,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 1711,Non AC Seater,20:00:00,05:30:00,09h 30m,2.2,512,35
32,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 3,AC Seater,21:00:00,06:00:00,09h 00m,2.2,912,1
33,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 108,AC Seater,21:20:00,06:52:00,09h 32m,2.2,632,35
34,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 1712,Non AC Seater,21:30:00,06:00:00,08h 30m,2.2,512,37
35,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 130,Non AC Seater,21:45:00,06:15:00,08h 30m,2.2,512,31
36,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 179,Non AC Seater,22:00:00,06:30:00,08h 30m,2.2,512,27
37,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 92,AC Seater,22:30:00,07:20:00,08h 50m,2.2,912,1
38,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 136,Non AC Seater,22:30:00,06:30:00,08h 00m,2.2,512,27
39,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,RSRTC - 192348,AC Seater,16:30:00,02:00:00,09h 30m,2.2,1117,27
40,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Laxmi holidays,AC Semi Sleeper,20:30:00,04:30:00,08h 00m,2.2,799,2
41,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Ram Dalal Holidays,AC Semi Sleeper,22:00:00,06:40:00,08h 40m,2.2,950,1
42,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Zingbus Plus,AC Semi Sleeper,20:30:00,05:10:00,08h 40m,2.2,620,9
43,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Ram Dalal Holidays,AC Semi Sleeper,21:30:00,05:00:00,07h 30m,2.2,779,5
44,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Bedi Travels,AC Semi Sleeper,21:30:00,05:30:00,08h 00m,2.2,864,6
45,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Deltin Travels Pvt Ltd,AC Semi Sleeper,21:20:00,04:50:00,07h 30m,2.2,729,3
46,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Yolo Bus,AC Semi Sleeper,12:00:00,20:50:00,08h 50m,2.2,700,32
47,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Ram Dalal Holidays,AC Semi Sleeper,21:45:00,06:25:00,08h 40m,2.2,899,11
48,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,PAL Travel Lines,AC Semi Sleeper,21:25:00,05:30:00,08h 05m,2.2,1259,21
49,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,RAO TRAVELS INDIA PVT LTD.,AC Seater,17:30:00,07:00:00,13h 30m,2.2,1499,32
50,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,City Land Travels,AC Semi Sleeper,22:00:00,05:00:00,07h 00m,2.2,1098,15
51,Shimla,Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Royal Safari India Travels,AC Semi Sleeper,14:00:00,22:20:00,08h 20m,2.2,660,25
52,Hamirpur Himachal Pradesh,Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 606,Non AC Seater,12:40:00,19:30:00,06h 50m,3.9,364,36
53,Hamirpur Himachal Pradesh,Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 620,Non AC Seater,15:10:00,20:40:00,05h 30m,3.9,364,36
54,Hamirpur Himachal Pradesh,Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 401270,Non AC Seater,17:05:00,21:05:00,04h 00m,3.9,310,27
55,Hamirpur Himachal Pradesh,Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 621,Non AC Seater,17:10:00,22:00:00,04h 50m,3.9,364,28
56,Hamirpur Himachal Pradesh,Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 955,Non AC Seater,17:40:00,23:55:00,06h 15m,3.9,334,37
57,Hamirpur Himachal Pradesh,Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 622,Non AC Seater,21:15:00,02:30:00,05h 15m,3.9,369,37
58,Hamirpur Himachal Pradesh,Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Chandigarh Transport Undertaking (CTU) - 165842,Non AC Seater,13:55:00,20:00:00,06h 05m,3.9,456.2,42
59,Hamirpur Himachal Pradesh,Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Chandigarh Transport Undertaking (CTU) - 165844,Non AC Seater,16:18:00,20:48:00,04h 30m,3.9,383.85,41
60,Hamirpur Himachal Pradesh,Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Laxmi holidays,AC Semi Sleeper,20:20:00,01:15:00,04h 55m,3.9,699,25
61,Hamirpur Himachal Pradesh,Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Ram Dalal Holidays,AC Semi Sleeper,21:15:00,01:20:00,04h 05m,3.9,760,14
62,Hamirpur Himachal Pradesh,Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Northern Travels,AC Semi Sleeper,21:45:00,01:30:00,03h 45m,3.9,640,15
63,Hamirpur Himachal Pradesh,Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Ram Dalal Holidays,AC Semi Sleeper,22:00:00,03:10:00,05h 10m,3.9,741,18
64,Hamirpur Himachal Pradesh,Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Bedi Travels,AC Semi Sleeper,22:05:00,02:05:00,04h 00m,3.9,630,11
65,Hamirpur Himachal Pradesh,Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Himalayan Nomad Ktc,AC Semi Sleeper,22:05:00,01:30:00,03h 25m,3.9,575,17
66,Hamirpur Himachal Pradesh,Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Himalayan Nomad Ktc,AC Semi Sleeper,22:25:00,01:45:00,03h 20m,3.9,575,16
67,Hamirpur Himachal Pradesh,Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Laxmi holidays,AC Semi Sleeper,22:20:00,03:15:00,04h 55m,3.9,749,28
68,Chandigarh,Hamirpur Himachal Pradesh,https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,HRTC - 1515,Non AC Seater,13:20:00,20:15:00,06h 55m,3.3,373,37
69,Chandigarh,Hamirpur Himachal Pradesh,https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,HRTC - 1529,Non AC Seater,13:56:00,19:05:00,05h 09m,3.3,364,37
