Bus_no,From,To,Link,Bus_Name,Bus_Type,Bus_Dept,Bus_Arrival,Duration,Rating,Price,Seats
0,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 370,AC Seater,15:25:00,23:20:00,07h 55m,3,1099,21
1,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 97,Non AC Seater,16:00:00,00:45:00,08h 45m,3,740,2
2,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 380,Non AC Seater,16:15:00,01:00:00,08h 45m,3,740,3
3,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 553,Non AC Seater,16:45:00,02:15:00,09h 30m,3,832,11
4,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 51,Non AC Seater,19:00:00,04:30:00,09h 30m,3,832,2
5,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 1585,Non AC Seater,20:40:00,06:10:00,09h 30m,3,832,1
6,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 2853,Non AC Seater,23:16:00,08:31:00,09h 15m,3,688,21
7,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 56,AC Seater,23:40:00,10:00:00,10h 20m,3,945,2
8,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,MMK Travels,AC Seater/Sleeper,22:30:00,07:30:00,09h 00m,3,899,13
9,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,SKS Tours & Travels,AC Sleeper,21:15:00,05:45:00,08h 30m,3,1299,17
10,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,FAST LINE BUS,AC Sleeper,21:15:00,06:15:00,09h 00m,3,1169,12
11,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,AdSAAM BUS,AC Seater/Sleeper,21:45:00,05:50:00,08h 05m,3,1200,5
12,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,MMK Travels,AC Sleeper,23:00:00,07:30:00,08h 30m,3,1099,11
13,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,DLT BUS,AC Sleeper,22:30:00,07:30:00,09h 00m,3,1299,12
14,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,NS Transports,Non AC Seater/Sleeper,22:15:00,06:30:00,08h 15m,3,900,8
15,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,AdSuraj Holidays,AC Sleeper,22:30:00,07:30:00,09h 00m,3,1250,16
16,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,DA Transports,AC Sleeper,21:45:00,06:55:00,09h 10m,3,1200,11
17,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,P K Travels,AC Seater/Sleeper,21:30:00,06:00:00,08h 30m,3,1000,12
18,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Silver Line Travels,Non AC Seater/Sleeper,22:15:00,06:45:00,08h 30m,3,855,8
19,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,NS Transports,Non AC Seater/Sleeper,22:30:00,06:45:00,08h 15m,3,899,6
20,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,National travels and logistics,AC Sleeper,22:45:00,07:00:00,08h 15m,3,1190,11
21,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,NS Transports,Non AC Seater/Sleeper,21:45:00,06:10:00,08h 25m,3,899,12
22,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,SAAM BUS,AC Sleeper,21:45:00,06:45:00,09h 00m,3,1200,13
23,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Kyros Connect,AC Semi Sleeper,23:00:00,09:00:00,10h 00m,3,1099,27
24,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,P K Travels,AC Sleeper,18:45:00,06:30:00,11h 45m,3,1300,9
25,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,LEGEND HOLIDAYS,AC Semi Sleeper,21:20:00,06:00:00,08h 40m,3,899,14
26,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Balaji Tourist,AC Semi Sleeper,20:15:00,03:15:00,07h 00m,3,2250,49
27,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Sam Tourist,Non AC Seater/Sleeper,22:05:00,07:05:00,09h 00m,3,799,20
28,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Suraj Holidays,Non AC Seater/Sleeper,20:30:00,06:00:00,09h 30m,3,850,14
29,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,SKS Tourist Corporation (REGD),Non AC Seater/Sleeper,22:00:00,06:00:00,08h 00m,3,899,23
30,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,National travels and logistics,Non AC Sleeper,22:30:00,06:15:00,07h 45m,3,899,11
31,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,SKS Tourist Corporation (REGD),AC Sleeper,21:00:00,05:30:00,08h 30m,3,1299,16
32,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Kalpaka Travels,Non AC Semi Sleeper,22:15:00,04:45:00,06h 30m,3,900,6
33,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Usha Transport,Non AC Sleeper,22:00:00,07:15:00,09h 15m,3,899,21
34,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,NS Transports,AC Sleeper,22:45:00,07:30:00,08h 45m,3,1250,7
35,Bangalore,Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Kallada Travels (Suresh Kallada),AC Sleeper,22:00:00,07:05:00,09h 05m,3,1299,20
