Bus_no,From,To,Bus_Name,Bus_Type,Bus_Dept,Bus_Arrival,Duration,Rating,Price,Seats
0,Pune,Goa,Laxmi-Princess Nova,Non AC Seater/Sleeper,20:00:00,07:15:00,11h 15m,4.2,699,24
1,Pune,Goa,IntrCity SmartBus,AC Seater/Sleeper,21:15:00,07:55:00,10h 40m,4.2,1087,11
2,Pune,Goa,Ashray Vip Yellows,AC Sleeper,20:35:00,08:00:00,11h 25m,4.2,1270,13
3,Pune,Goa,AdRajmudra tours and travels,AC Sleeper,22:25:00,09:41:00,11h 16m,4.2,1214,16
4,Pune,Goa,Ashray Travels,Non AC Seater/Sleeper,21:20:00,08:50:00,11h 30m,4.2,780,15
5,Pune,Goa,Prasanna - Purple Bus,AC Sleeper,22:30:00,09:30:00,11h 00m,4.2,1320,12
6,Pune,Goa,Ashray Travels,AC Sleeper,21:05:00,08:30:00,11h 25m,4.2,1290,13
7,Pune,Goa,AdShreyash Travels,AC Sleeper,21:45:00,08:30:00,10h 45m,4.2,1401,6
8,Pune,Goa,Gogte Anand Travels,AC Sleeper,23:30:00,10:25:00,10h 55m,4.2,1201,14
9,Pune,Goa,Dolphin Travel House (37),AC Sleeper,19:45:00,06:00:00,10h 15m,4.2,1710,2
10,Pune,Goa,IntrCity SmartBus,AC Sleeper,22:35:00,09:00:00,10h 25m,4.2,1638,19
11,Pune,Goa,Ashray National Express,Non AC Sleeper,20:00:00,06:45:00,10h 45m,4.2,880,6
12,Pune,Goa,Indumati Travels,AC Sleeper,22:20:00,08:30:00,10h 10m,4.2,1378,11
13,Pune,Goa,Gogte Anand Travels,AC Sleeper,21:15:00,07:55:00,10h 40m,4.2,1251,13
14,Pune,Goa,Ashray Grand,AC Sleeper,23:00:00,10:00:00,11h 00m,4.2,1500,15
15,Pune,Goa,Ashray Amrutyog,AC Sleeper,22:05:00,09:30:00,11h 25m,4.2,1250,8
16,Pune,Goa,IntrCity SmartBus,AC Sleeper,20:35:00,07:30:00,10h 55m,4.2,1369,13
17,Pune,Goa,IntrCity SmartBus,AC Sleeper,21:00:00,07:40:00,10h 40m,4.2,1398,9
18,Pune,Goa,Sangitam Travels Tanzanite,AC Sleeper,21:00:00,06:45:00,09h 45m,4.2,1305,8
19,Pune,Goa,IntrCity SmartBus,AC Sleeper,23:20:00,10:00:00,10h 40m,4.2,1967,12
20,Pune,Goa,Atmaram Gobus,AC Sleeper,22:30:00,08:45:00,10h 15m,4.2,1250,5
21,Pune,Goa,Laxmi Queen Asta,AC Sleeper,21:30:00,08:00:00,10h 30m,4.2,1600,16
22,Pune,Goa,IntrCity SmartBus,AC Sleeper,22:10:00,08:50:00,10h 40m,4.2,1638,11
23,Pune,Goa,Gogte Travels,Non AC Sleeper,19:30:00,06:15:00,10h 45m,4.2,899,10
24,Pune,Goa,Atmaram Gobus,AC Sleeper,21:00:00,07:45:00,10h 45m,4.2,1250,8
25,Pune,Goa,IntrCity SmartBus,AC Sleeper,22:00:00,09:35:00,11h 35m,4.2,1369,13
26,Pune,Goa,Zingbus Plus,AC Sleeper,23:45:00,10:55:00,11h 10m,4.2,1385,8
27,Pune,Goa,IntrCity SmartBus,AC Sleeper,22:30:00,09:35:00,11h 05m,4.2,1396,12
28,Pune,Goa,Prasanna - Purple Bus,AC Sleeper,23:00:00,10:00:00,11h 00m,4.2,1420,18
