Bus_no,From,To,Link,Bus_Name,Bus_Type,Bus_Dept,Bus_Arrival,Duration,Rating,Price,Seats
0,Patiala,Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66687,AC Seater,18:10:00,00:19:00,06h 09m,3.7,711,39
1,Patiala,Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,AC Semi Sleeper,20:00:00,03:00:00,07h 00m,3.7,3300,31
2,Patiala,Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,AC Sleeper,22:00:00,05:00:00,07h 00m,3.7,3850,28
3,Delhi,Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 66667,AC Seater,17:31:00,22:30:00,04h 59m,4,711,27
4,Delhi,Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,AC Semi Sleeper,23:30:00,06:30:00,07h 00m,4,3300,34
5,Delhi,Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,AC Semi Sleeper,19:30:00,02:30:00,07h 00m,4,3300,45
6,Delhi,Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,AC Sleeper,22:00:00,05:00:00,07h 00m,4,3850,33
7,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67098,AC Seater,19:50:00,03:25:00,07h 35m,4,873,29
8,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67098,AC Seater,19:50:00,04:05:00,08h 15m,4,997,29
9,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67128,AC Seater,20:50:00,02:49:00,05h 59m,4,873,33
10,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67128,AC Seater,20:50:00,04:50:00,08h 00m,4,997,33
11,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67164,AC Seater,21:50:00,04:50:00,07h 00m,4,873,34
12,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67164,AC Seater,21:50:00,05:50:00,08h 00m,4,997,34
13,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,NueGo,AC Seater,23:15:00,05:05:00,05h 50m,4,414,22
14,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Yolo Bus,AC Seater/Sleeper,22:27:00,04:18:00,05h 51m,4,500,26
15,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,AC Seater/Sleeper,23:55:00,06:15:00,06h 20m,4,479,20
16,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Laxmi holidays,AC Sleeper,23:55:00,06:45:00,06h 50m,4,550,36
17,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,New Navyug Travels,AC Sleeper,23:00:00,05:30:00,06h 30m,4,775,24
18,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,AC Seater/Sleeper,23:10:00,05:50:00,06h 40m,4,479,21
19,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Express Volvo,AC Semi Sleeper,23:58:00,06:05:00,06h 07m,4,599,28
20,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Muskan Tour And Travels private Limited,AC Semi Sleeper,23:50:00,05:30:00,05h 40m,4,599,42
21,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Zingbus Plus,AC Seater/Sleeper,23:50:00,06:40:00,06h 50m,4,539,27
22,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,AC Seater/Sleeper,23:10:00,06:20:00,07h 10m,4,659,20
23,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,AC Seater/Sleeper,23:05:00,05:15:00,06h 10m,4,699,16
24,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Express Volvo,AC Seater/Sleeper,23:25:00,05:20:00,05h 55m,4,499,24
25,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Express Volvo,AC Seater/Sleeper,23:59:00,06:30:00,06h 31m,4,499,32
26,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Express Volvo,AC Seater/Sleeper,23:30:00,05:30:00,06h 00m,4,549,23
27,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Indo Canadian Transport Company,AC Sleeper,21:29:00,05:00:00,07h 31m,4,3850,39
28,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Indo Canadian Transport Company,AC Semi Sleeper,19:29:00,03:00:00,07h 31m,4,3300,25
29,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Indo Canadian Transport Company,AC Semi Sleeper,23:29:00,07:00:00,07h 31m,4,3300,43
30,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Express Volvo,AC Semi Sleeper,23:58:00,06:20:00,06h 22m,4,599,35
31,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,NueGo,AC Seater,18:00:00,23:50:00,05h 50m,4,336,33
32,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,NueGo,AC Seater,00:05:00,05:55:00,05h 50m,4,336,31
33,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,ADTC tour and Travels,AC Seater/Sleeper,23:55:00,05:15:00,05h 20m,4,600,25
34,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Deltin Travels Pvt Ltd,AC Seater/Sleeper,22:15:00,05:00:00,06h 45m,4,599,27
