Bus_no,From,To,Link,Bus_Name,Bus_Type,Bus_Dept,Bus_Arrival,Duration,Rating,Price,Seats
0,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 167049,Non AC Seater,14:30:00,19:15:00,04h 45m,3.9,229,42
1,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 197935,Non AC Seater,14:30:00,19:15:00,04h 45m,3.9,229,42
2,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 146140,AC Seater,14:46:00,18:48:00,04h 02m,3.9,460,23
3,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 169078,Non AC Seater/Sleeper,15:00:00,19:30:00,04h 30m,3.9,302,30
4,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 190572,Non AC Seater,16:15:00,21:00:00,04h 45m,3.9,229,42
5,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 194178,AC Seater,16:30:00,20:30:00,04h 00m,3.9,460,27
6,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 160785,AC Seater,17:30:00,21:30:00,04h 00m,3.9,460,35
7,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 190951,Non AC Seater,18:00:00,22:30:00,04h 30m,3.9,229,42
8,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 193481,Non AC Seater,18:30:00,23:00:00,04h 30m,3.9,229,42
9,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 176394,AC Seater,20:00:00,23:45:00,03h 45m,3.9,460,30
10,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 189473,Non AC Seater/Sleeper,21:00:00,01:30:00,04h 30m,3.9,302,37
11,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 172841,AC Seater,22:01:00,01:30:00,03h 29m,3.9,460,37
12,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 192299,AC Seater,23:00:00,02:45:00,03h 45m,3.9,458,37
13,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 189583,Non AC Seater/Sleeper,23:59:00,03:45:00,03h 46m,3.9,302,7
14,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,AC Seater/Sleeper,14:00:00,18:00:00,04h 00m,3.9,430,24
15,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Shrinath® Travel Agency Pvt. Ltd.,AC Seater/Sleeper,14:00:00,18:30:00,04h 30m,3.9,700,40
16,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,M R Travels,AC Seater/Sleeper,15:30:00,20:00:00,04h 30m,3.9,550,29
17,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,Non AC Seater/Sleeper,15:30:00,20:30:00,05h 00m,3.9,330,39
18,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,Non AC Seater/Sleeper,17:00:00,22:55:00,05h 55m,3.9,330,41
19,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jakhar Travels,Non AC Seater/Sleeper,18:00:00,23:15:00,05h 15m,3.9,450,35
20,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Shre Ganesh Travels (VR SIYOL),AC Seater/Sleeper,19:00:00,23:00:00,04h 00m,3.9,600,37
21,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,M R Travels,Non AC Seater/Sleeper,18:30:00,23:40:00,05h 10m,3.9,495,37
22,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,Non AC Seater/Sleeper,19:00:00,23:50:00,04h 50m,3.9,330,39
23,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,Non AC Seater/Sleeper,19:00:00,23:36:00,04h 36m,3.9,330,32
24,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,M R Travels,AC Seater/Sleeper,19:30:00,23:50:00,04h 20m,3.9,1224,30
25,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,AC Seater/Sleeper,20:00:00,00:30:00,04h 30m,3.9,580,34
26,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Chanakya Travels Agency,Non AC Seater/Sleeper,20:30:00,01:15:00,04h 45m,3.9,500,40
27,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Deepak Travells,AC Seater/Sleeper,21:50:00,05:00:00,07h 10m,3.9,380,38
28,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,M R Travels,AC Seater/Sleeper,22:00:00,02:15:00,04h 15m,3.9,510,31
29,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,Non AC Seater/Sleeper,22:00:00,03:00:00,05h 00m,3.9,400,48
30,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jakhar Travels,AC Seater/Sleeper,22:00:00,02:30:00,04h 30m,3.9,500,25
31,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Shre Ganesh Travels (VR SIYOL),AC Seater/Sleeper,23:00:00,03:00:00,04h 00m,3.9,700,40
32,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,FlixBus,AC Seater/Sleeper,22:00:00,02:20:00,04h 20m,3.9,225,27
33,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Pooja Paraswnath Travels,AC Seater/Sleeper,22:00:00,03:34:00,05h 34m,3.9,500,32
34,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Tiger Travels,Non AC Seater/Sleeper,22:00:00,02:45:00,04h 45m,3.9,400,36
35,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Shre Ganesh Travels (VR SIYOL),AC Seater/Sleeper,22:45:00,03:15:00,04h 30m,3.9,600,31
36,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Gajraj Travels,AC Seater/Sleeper,22:00:00,03:10:00,05h 10m,3.9,650,34
37,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Chouhan Tour and Travel,AC Seater/Sleeper,22:26:00,03:11:00,04h 45m,3.9,700,33
38,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,AC Seater/Sleeper,22:30:00,02:35:00,04h 05m,3.9,650,32
39,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Chouhan travels and Cargo,AC Seater/Sleeper,22:35:00,03:20:00,04h 45m,3.9,666.67,32
40,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Swagat Travels,AC Seater/Sleeper,22:42:00,02:50:00,04h 08m,3.9,475,41
41,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,M R Travels,AC Seater/Sleeper,22:45:00,02:25:00,03h 40m,3.9,510,26
42,Jodhpur,Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Shre Ganesh Travels (VR SIYOL),AC Seater/Sleeper,23:59:00,04:15:00,04h 16m,3.9,700,36
