Bus_no,From,To,Link,Bus_Name,Bus_Type,Bus_Dept,Bus_Arrival,Duration,Rating,Price,Seats
0,Digha,Barasat West Bengal,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,The Joy Ride,AC Seater/Sleeper,21:15:00,03:35:00,06h 20m,3.8,488,50
1,Digha,Barasat West Bengal,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Satya Paribahan,AC Seater/Sleeper,23:00:00,05:10:00,06h 10m,3.8,320,22
2,Digha,Barasat West Bengal,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Aradhana Travel,Non AC Seater,21:45:00,04:40:00,06h 55m,3.8,500,13
3,Digha,Barasat West Bengal,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Aradhana Travel,AC Seater/Sleeper,18:35:00,23:55:00,05h 20m,3.8,600,19
4,Durgapur,Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Express Line,AC Seater,19:00:00,23:20:00,04h 20m,4.5,486,14
5,Digha,Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,City Express (Shinjini),AC Seater,22:45:00,04:10:00,05h 25m,3.8,320,26
6,Digha,Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Snemita Paribahan(Shinjini),AC Seater/Sleeper,22:45:00,04:10:00,05h 25m,3.8,320,30
7,Digha,Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,The Joy Ride,AC Seater/Sleeper,21:15:00,02:30:00,05h 15m,3.8,488,49
8,Digha,Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Snemita Paribahan (Shinjini),AC Seater,23:35:00,04:15:00,04h 40m,3.8,320,30
9,Digha,Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Aradhana Travel,AC Seater/Sleeper,19:35:00,23:59:00,04h 24m,3.8,500,39
10,Digha,Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Aradhana Travel,Non AC Seater,21:45:00,03:25:00,05h 40m,3.8,500,13
11,Digha,Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Parameswar Travels,AC Seater,21:00:00,03:00:00,06h 00m,3.8,238,15
12,Digha,Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Parameswar Travels,AC Seater,20:00:00,01:35:00,05h 35m,3.8,238,15
13,Digha,Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Aradhana Travel,AC Seater/Sleeper,18:35:00,23:00:00,04h 25m,3.8,500,19
14,Digha,Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Parameswar Travels,AC Seater,18:10:00,23:30:00,05h 20m,3.8,285,31
15,Digha,Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Satya Paribahan,AC Seater/Sleeper,23:00:00,03:45:00,04h 45m,3.8,320,22
